query,expected_intent,actual_intent,routing_score,precision@3,recall@3,f1@3,gen_score,latency
Who is Garen's closest family member in Demacia?,Adversarial,Vector,0,0.33,0.5,0.4,0,5.99
Describe Garen's relationship with his brothers.,Adversarial,Vector,0,0.67,2.0,1.0,0,11.48
What weapons does Gnar use?,Graph,Vector,0,0.0,0.0,0.0,0,5.09
In which regions has Gnar resided?,Graph,Vector,0,0.0,0.0,0.0,0,3.22
Who are some characters related to Gnar?,Graph,Vector,0,0.0,0.0,0.0,0,2.97
What is known about Gnar's immediate family members?,Graph,Vector,0,0.0,0.0,0.0,0,2.91
Describe Gnar's temperament as a young yordle.,Vector,Vector,1,0.0,0.0,0.0,8,8.25
Where did Gnar live before the Freljord was named?,Vector,Vector,1,0.0,0.0,0.0,8,5.52
What did Gnar consider himself to have kinship with?,Vector,Vector,1,0.0,0.0,0.0,0,2.99
What kind of items did Gnar collect in his early life?,Vector,Vector,1,0.0,0.0,0.0,5,4.66
How did Gnar's early life in the Freljord shape his temperament towards larger creatures?,Hybrid,Vector,0,0.0,0.0,0.0,7,9.17
"Considering Gnar's occupation as a hunter and his tendency to bond with larger creatures in the Freljord, how might his relationship with beings like Willump be characterized?",Hybrid,Vector,0,0.0,0.0,0.0,10,8.62
What is Gnar's brother's name?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.2
Is there any record of Gnar being betrayed by anyone?,Adversarial,Vector,0,0.0,0.0,0.0,0,4.8
What are Gragas's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,0,4.77
In which region does Gragas currently reside?,Graph,Vector,0,0.0,0.0,0.0,0,4.48
List characters related to Gragas.,Graph,Vector,0,0.0,0.0,0.0,0,1.77
What is Gragas's faction affiliation?,Graph,Vector,0,0.0,0.0,0.0,10,5.94
What was Gragas's ultimate goal in brewing?,Vector,Vector,1,0.0,0.0,0.0,8,4.41
How did Gragas find the ice shard in the Freljord?,Vector,Vector,1,0.0,0.0,0.0,7,3.77
What effect did the ice shard have on Gragas's brew?,Vector,Vector,1,0.0,0.0,0.0,10,4.02
What is Gragas's species and current age?,Vector,Vector,1,0.0,0.0,0.0,0,4.06
Explain how the Freljord's arctic water and ice shard contributed to Gragas's ultimate ale.,Hybrid,Vector,0,0.0,0.0,0.0,8,6.15
How did Gragas's quest for the perfect brew lead him to the Freljord and what did he find?,Hybrid,Vector,0,0.0,0.0,0.0,9,6.82
Who is the traitor that Gragas is seeking revenge against?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.99
Can you describe Gragas's younger sister and her role in his life?,Adversarial,Vector,0,0.0,0.0,0.0,0,6.47
What are the names of the weapons Graves uses?,Graph,Vector,0,0.0,0.0,0.0,0,3.97
In which region did Malcolm Graves grow up?,Graph,Vector,0,0.0,0.0,0.0,9,4.51
Who is Graves's romantic interest?,Graph,Vector,0,0.0,0.0,0.0,0,3.18
List characters that are related to Graves.,Graph,Vector,0,0.0,0.0,0.0,0,2.27
Describe Graves's early life in Bilgewater.,Vector,Vector,1,0.0,0.0,0.0,10,6.4
What event led Graves to leave Bilgewater for the Shuriman mainland?,Vector,Vector,1,0.0,0.0,0.0,7,4.38
Tell me about the card game where Graves first met Twisted Fate.,Vector,Vector,1,0.0,0.0,0.0,10,6.09
"What is Graves's personality like, based on his early life and occupations?",Vector,Vector,1,0.0,0.0,0.0,4,8.63
Describe Graves's occupation as a mercenary and how it relates to his past in Bilgewater.,Hybrid,Vector,0,0.0,0.0,0.0,10,9.59
How does Graves's status as an Outlaw and his connection to Bilgewater influence his current residence?,Hybrid,Vector,0,0.0,0.0,0.0,7,9.05
Is Graves known to be a traitor?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.97
Does Graves have any siblings?,Adversarial,Vector,0,0.0,0.0,0.0,0,4.94
What weapons does Gwen use?,Graph,Vector,0,0.33,1.0,0.5,0,3.88
What regions is Gwen associated with?,Graph,Vector,0,0.0,0.0,0.0,5,5.52
Who created Gwen?,Graph,Vector,0,0.0,0.0,0.0,10,3.1
List characters related to Gwen.,Graph,Vector,0,0.0,0.0,0.0,5,4.45
What was Gwen's original purpose as a doll?,Vector,Vector,1,0.0,0.0,0.0,10,8.01
What events led to Gwen being forgotten for centuries?,Vector,Vector,1,0.0,0.0,0.0,10,7.88
Describe Gwen's early life and relationship with Isolde.,Vector,Vector,1,0.0,0.0,0.0,8,21.77
How did Viego's actions affect Gwen's existence?,Vector,Vector,1,0.0,0.0,0.0,10,7.33
"Explain how Gwen, created by Isolde in Camavor, ended up in the Shadow Isles.",Hybrid,Vector,0,0.0,0.0,0.0,4,10.65
How did Isolde's illness and death influence Gwen's fate?,Hybrid,Vector,0,0.0,0.0,0.0,2,8.66
Does Gwen have any siblings?,Adversarial,Vector,0,0.0,0.0,0.0,0,4.75
What is the significance of the 'betrayer' in Gwen's story?,Adversarial,Vector,0,0.0,0.0,0.0,1,5.99
What weapons does Hecarim wield?,Graph,Vector,0,0.0,0.0,0.0,0,4.91
Which regions are associated with Hecarim?,Graph,Vector,0,0.0,0.0,0.0,5,3.92
Who was Hecarim's former fiancée?,Graph,Vector,0,0.0,0.0,0.0,0,1.69
List the characters related to Hecarim.,Graph,Vector,0,0.0,0.0,0.0,0,1.8
Describe Hecarim's personality and motivations.,Vector,Vector,1,0.0,0.0,0.0,10,27.09
What was Hecarim's former role in the Kingdom of Camavor?,Vector,Vector,1,0.0,0.0,0.0,9,6.3
How did Hecarim become the leader of the Iron Order?,Vector,Vector,1,0.0,0.0,0.0,10,11.03
What is Hecarim's current form or state?,Vector,Vector,1,0.0,0.0,0.0,9,6.71
How did Hecarim's ambition in Camavor lead to his current existence in the Shadow Isles?,Hybrid,Vector,0,0.0,0.0,0.0,6,9.87
Explain the connection between Hecarim's loyalty to King Viego in Camavor and his current allegiance in the Shadow Isles.,Hybrid,Vector,0,0.0,0.0,0.0,10,15.73
Who did Hecarim betray to gain control of the Iron Order?,Adversarial,Vector,0,0.0,0.0,0.0,7,4.82
"What is the relationship between Hecarim and his brother, the Commander of the Iron Order?",Adversarial,Vector,0,0.0,0.0,0.0,0,6.95
What weapons does Heimerdinger use?,Graph,Vector,0,0.0,0.0,0.0,0,3.43
What regions is Heimerdinger associated with?,Graph,Vector,0,0.0,0.0,0.0,0,6.94
Who are some characters related to Heimerdinger?,Graph,Vector,0,0.0,0.0,0.0,0,2.84
What faction does Heimerdinger belong to?,Graph,Vector,0,0.0,0.0,0.0,10,4.62
What drives Heimerdinger's passion for invention?,Vector,Vector,1,0.0,0.0,0.0,4,5.11
What role did Heimerdinger play in the founding of Piltover?,Vector,Vector,1,0.0,0.0,0.0,5,10.57
How old was Heimerdinger during Arcane Act 1?,Vector,Vector,1,0.0,0.0,0.0,0,5.19
What is Heimerdinger's current known status?,Vector,Vector,1,0.0,0.0,0.0,0,6.37
How did Heimerdinger's inventions impact Piltover's development as a city of progress?,Hybrid,Vector,0,0.0,0.0,0.0,4,8.4
How did Heimerdinger's experience witnessing a magical catastrophe influence his decision to help found Piltover?,Hybrid,Vector,0,0.0,0.0,0.0,8,9.01
Did Heimerdinger betray his Yordle brethren by leaving Bandle City?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,4.78
What are the general duties of a leader like Heimerdinger in Piltover?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,10,15.66
What is Hwei's primary weapon?,Graph,Vector,0,1.0,3.0,1.5,0,3.48
Where is Hwei originally from?,Graph,Vector,0,0.0,0.0,0.0,0,4.15
Which characters are related to Hwei?,Graph,Vector,0,0.0,0.0,0.0,0,8.74
What is Hwei's occupation?,Graph,Vector,0,0.0,0.0,0.0,5,6.32
How does Hwei's paint magic influence its audience?,Vector,Vector,1,0.0,0.0,0.0,10,5.36
What was Hwei's childhood like in Koyehn?,Vector,Vector,1,0.0,0.0,0.0,10,5.1
What is required to prevent Hwei's art from overpowering mental perceptions?,Vector,Vector,1,0.0,0.0,0.0,9,4.63
What is the significance of Hwei's shifting eye colors?,Vector,Vector,1,0.0,0.0,0.0,10,10.37
How does Hwei's artistic magic connect to his origins in Ionia?,Hybrid,Vector,0,0.0,0.0,0.0,8,10.63
Describe the relationship between Hwei and Jhin in the context of Ionian art.,Hybrid,Vector,0,0.0,0.0,0.0,0,13.09
What is the name of Hwei's brother?,Adversarial,Vector,0,0.0,0.0,0.0,0,5.57
Who is the traitor in Hwei's family?,Adversarial,Vector,0,0.0,0.0,0.0,0,5.0
What are Illaoi's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,1,3.22
What region is Illaoi from?,Graph,Vector,0,0.0,0.0,0.0,0,3.55
Who was Illaoi's former lover?,Graph,Vector,0,0.0,0.0,0.0,10,5.07
What is Illaoi's faction?,Graph,Vector,0,0.0,0.0,0.0,10,5.79
What is Illaoi's role as a spiritual leader?,Vector,Vector,1,0.0,0.0,0.0,7,5.93
How did Illaoi's upbringing influence her destiny?,Vector,Vector,1,0.0,0.0,0.0,9,10.05
Describe Illaoi's feelings about her past romance with Gangplank.,Vector,Vector,1,0.0,0.0,0.0,5,8.14
What are Illaoi's core beliefs and responsibilities?,Vector,Vector,1,0.0,0.0,0.0,9,9.36
How does Illaoi's devotion to Nagakabouros affect her connection to the Serpent Isles?,Hybrid,Vector,0,0.0,0.0,0.0,10,9.31
"Considering Illaoi's former relationship with Gangplank and her current residence in Bilgewater, how might her past influence her present actions?",Hybrid,Vector,0,0.0,0.0,0.0,10,29.36
Tell me about Illaoi's mother.,Adversarial,Vector,0,0.0,0.0,0.0,0,6.27
What is Illaoi's brother's name and role in her life?,Adversarial,Vector,0,0.0,0.0,0.0,0,4.85
What are Irelia's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,0,3.94
What is Irelia's region of origin?,Graph,Vector,0,0.0,0.0,0.0,10,2.78
Who were Irelia's brothers?,Graph,Vector,0,0.0,0.0,0.0,0,5.1
Who was Irelia's grandmother?,Graph,Vector,0,0.0,0.0,0.0,0,3.59
Why did Irelia pursue traditional dance from a young age?,Vector,Vector,1,0.0,0.0,0.0,9,6.22
What happened to Irelia's father and brothers during the Noxian invasion?,Vector,Vector,1,0.0,0.0,0.0,0,9.44
What role did Irelia's grandmother play in her life?,Vector,Vector,1,0.0,0.0,0.0,5,5.57
What command did Admiral Duqual give regarding Irelia's family crest?,Vector,Vector,1,0.0,0.0,0.0,7,5.84
How did the Noxian invasion of Ionia shape Irelia's connection to dance and her identity?,Hybrid,Vector,0,0.0,0.0,0.0,7,7.46
Describe the influence of Irelia's Ionian heritage on her role as a Sentinel of Light.,Hybrid,Vector,0,0.0,0.0,0.0,8,17.17
Tell me about the traitor who wronged Irelia's family.,Adversarial,Vector,0,0.0,0.0,0.0,1,4.54
What did Irelia's brother do during the Noxian invasion?,Adversarial,Vector,0,0.0,0.0,0.0,2,4.37
What regions are associated with Ivern's origins?,Graph,Vector,0,0.0,0.0,0.0,5,6.06
Who are Ivern's offspring?,Graph,Vector,0,0.0,0.0,0.0,4,4.15
Who are characters directly related to Ivern besides Daisy?,Graph,Vector,0,0.0,0.0,0.0,5,4.28
What kind of magic does Ivern wield?,Graph,Vector,0,0.0,0.0,0.0,10,6.87
Why did Ivern the Cruel seek out the land where magic flows?,Vector,Vector,1,0.0,0.0,0.0,8,3.79
Describe Ivern's actions upon reaching Ionia.,Vector,Vector,1,0.0,0.0,0.0,1,27.18
What was Ivern's role in ancient Vorrijaard?,Vector,Vector,1,0.0,0.0,0.0,10,5.82
What ancient gods did Ivern the Cruel follow?,Vector,Vector,1,0.0,0.0,0.0,4,4.15
How did Ivern's early life in the Freljord contrast with his later actions in Ionia?,Hybrid,Vector,0,0.0,0.0,0.0,5,7.9
What was the nature of the conflict Ivern engaged in with the Vastayans in Ionia?,Hybrid,Vector,0,0.0,0.0,0.0,5,7.64
What does 'Ivern the Cruel' imply about his relationship with his family?,Adversarial,Vector,0,0.0,0.0,0.0,3,4.54
Is Daisy Ivern's older brother?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.1
What are Janna's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,0,3.54
In which regions has Janna been present?,Graph,Vector,0,0.0,0.0,0.0,5,3.65
Who are some characters related to Janna?,Graph,Vector,0,0.0,0.0,0.0,0,2.08
What are Janna's occupations?,Graph,Vector,0,0.0,0.0,0.0,0,2.98
Describe Janna's nature as a spirit.,Vector,Vector,1,0.0,0.0,0.0,8,7.99
What is the ancient Shuriman meaning of Janna's true name?,Vector,Vector,1,0.0,0.0,0.0,4,4.41
What signs were said to precede heavy winds or storms according to old tales?,Vector,Vector,1,0.0,0.0,0.0,10,5.75
What is Janna's species and place of origin?,Vector,Vector,1,0.0,0.0,0.0,5,4.0
"How does Janna, as Zaun's Guardian, interact with or influence characters like Ekko who also operate in Zaun?",Hybrid,Vector,0,0.0,0.0,0.0,10,22.91
Explain Janna's connection to Shurima and how her elemental spirit nature manifests across different regions like Zaun.,Hybrid,Vector,0,0.0,0.0,0.0,2,41.07
Is Janna the older sister of any known champions?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.2
Was Janna ever considered a traitor by her people?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.7
What is Jarvan IV's primary weapon?,Graph,Vector,0,0.67,2.0,1.0,0,4.45
What is Jarvan IV's region of origin?,Graph,Vector,0,0.0,0.0,0.0,8,6.22
Who is Jarvan IV's father?,Graph,Vector,0,0.33,1.0,0.5,9,6.63
Who was Jarvan IV's mentor and surrogate uncle?,Graph,Vector,0,1.0,3.0,1.5,10,5.54
Describe Jarvan IV's early life and upbringing.,Vector,Vector,1,0.0,0.0,0.0,10,12.57
What was the circumstance of Jarvan IV's mother's death?,Vector,Vector,1,0.0,0.0,0.0,8,6.29
What Demacian virtues was Prince Jarvan taught?,Vector,Vector,1,0.0,0.0,0.0,10,4.15
Is Jarvan IV alive?,Vector,Vector,1,0.0,0.0,0.0,0,3.91
How has Demacia influenced Jarvan IV's upbringing and his role as King?,Hybrid,Vector,0,0.0,0.0,0.0,10,14.38
"Considering Xin Zhao's role as Jarvan IV's mentor, what does this imply about Demacian culture?",Hybrid,Vector,0,0.67,1.0,0.8,5,11.49
Who is Jarvan IV's anh trai?,Adversarial,Vector,0,0.33,1.0,0.5,0,5.38
Who is the traitor mentioned in relation to Jarvan IV?,Adversarial,Vector,0,0.0,0.0,0.0,0,6.15
What weapons has Jax been known to wield?,Graph,Vector,0,0.0,0.0,0.0,4,3.36
Which regions are associated with Jax?,Graph,Vector,0,0.0,0.0,0.0,4,7.1
List characters related to Jax.,Graph,Vector,0,0.0,0.0,0.0,0,1.87
Who was Jax's father?,Graph,Vector,0,0.0,0.0,0.0,0,3.61
Describe Jax's early life in Icathia.,Vector,Vector,1,0.0,0.0,0.0,10,11.63
What were Jax's feelings towards the Shuriman Empire?,Vector,Vector,1,0.0,0.0,0.0,4,9.36
"What does the term ""Kohari"" refer to in Jax's background?",Vector,Vector,1,0.0,0.0,0.0,5,5.98
Where does Jax currently reside?,Vector,Vector,1,0.0,0.0,0.0,0,2.82
How did the Shuriman Empire's actions in ancient times affect Jax's upbringing in Icathia?,Hybrid,Vector,0,0.0,0.0,0.0,8,9.67
What is the significance of the Kohari's ritual suicide for Jax's heritage from Icathia?,Hybrid,Vector,0,1.0,1.0,1.0,5,7.29
Tell me about Jax's brother.,Adversarial,Vector,0,0.0,0.0,0.0,0,2.21
Who was the primary betrayer of Icathia?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.13
What are Jayce's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,4,3.71
In which region does Jayce primarily operate?,Graph,Vector,0,0.0,0.0,0.0,0,3.83
Who is Jayce's romantic interest?,Graph,Vector,0,0.0,0.0,0.0,8,3.11
List some characters related to Jayce.,Graph,Vector,0,0.0,0.0,0.0,0,1.94
What inspired Jayce to pursue hextech?,Vector,Vector,1,0.0,0.0,0.0,5,6.4
Describe Jayce's early life and family background.,Vector,Vector,1,0.0,0.0,0.0,5,14.52
What was Jayce's role in Piltover after becoming its defender?,Vector,Vector,1,0.0,0.0,0.0,4,6.2
What happened to Jayce at the end of Arcane Act 2?,Vector,Vector,1,0.0,0.0,0.0,0,6.14
How did Jayce's ambition in Piltover lead to conflict with Silco's vision?,Hybrid,Vector,0,0.0,0.0,0.0,0,10.76
What is the significance of the runic crystal Jayce received in his development as an inventor in Piltover?,Hybrid,Vector,0,0.0,0.0,0.0,8,8.59
Did Jayce have a brother who helped him invent the Mercury Hammer?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.76
Who was the traitor that betrayed Jayce and his mother in Piltover?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.97
List all known weapons used by Jinx.,Graph,Vector,0,0.0,0.0,0.0,4,8.35
What region is Jinx from?,Graph,Vector,0,0.0,0.0,0.0,0,3.97
Who is Jinx's adoptive father?,Graph,Vector,0,0.0,0.0,0.0,4,3.91
List Jinx's known family members.,Graph,Vector,0,0.0,0.0,0.0,0,2.12
Describe Jinx's early life and her parents' occupation.,Vector,Vector,1,0.0,0.0,0.0,0,11.9
What happened to Jinx's biological parents?,Vector,Vector,1,0.0,0.0,0.0,0,3.91
What was Jinx's primary motivation for participating in the uprising?,Vector,Vector,1,0.0,0.0,0.0,0,5.05
"How did Jinx's relationship with her older sister, Vi, begin?",Vector,Vector,1,0.0,0.0,0.0,1,8.8
"Explain Jinx's role in Zaun's conflict with Piltover, referencing her parents' fate.",Hybrid,Vector,0,0.0,0.0,0.0,0,25.82
How did the events of the uprising shape Jinx's perception of authority and family?,Hybrid,Vector,0,0.0,0.0,0.0,5,16.33
Describe the protective actions of Jinx's older sister.,Adversarial,Vector,0,0.0,0.0,0.0,1,4.18
Who was the main betrayer during the Zaunite uprising?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.96
What weapon does K'Sante wield?,Graph,Vector,0,0.0,0.0,0.0,0,3.61
Where is K'Sante's place of origin?,Graph,Vector,0,0.0,0.0,0.0,9,4.84
In which region is K'Sante primarily associated?,Graph,Vector,0,0.0,0.0,0.0,0,4.37
Who was K'Sante's former lover mentioned in his lore?,Graph,Vector,0,0.0,0.0,0.0,10,5.3
Describe K'Sante's training to hunt the cobra-lion.,Vector,Vector,1,0.0,0.0,0.0,7,11.58
What kind of monsters did Xerath create that posed a threat?,Vector,Vector,1,0.0,0.0,0.0,5,4.14
What specific difficulty did K'Sante and Tope encounter when hunting the cobra-lion?,Vector,Vector,1,0.0,0.0,0.0,10,7.34
How did the battles between Azir and Xerath affect K'Sante's homeland?,Vector,Vector,1,0.0,0.0,0.0,6,7.54
"How did Xerath's actions in Shurima, like creating monsters, impact K'Sante's life in Nazumah?",Hybrid,Vector,0,0.0,0.0,0.0,5,10.99
"Explain how K'Sante's experiences hunting creatures with regenerating hides, like the cobra-lion, shaped his skills as a defender.",Hybrid,Vector,0,0.0,0.0,0.0,5,14.42
Who is K'Sante's brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,4.43
Who betrayed K'Sante?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,1.96
What are Kai'Sa's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,0,2.44
Where is Kai'Sa originally from?,Graph,Vector,0,0.0,0.0,0.0,8,4.57
Who is Kai'Sa's father?,Graph,Vector,0,0.0,0.0,0.0,8,3.87
Name one character related to Kai'Sa besides her father.,Graph,Vector,0,0.0,0.0,0.0,0,3.05
How did Kai'Sa survive in the Void?,Vector,Vector,1,0.0,0.0,0.0,0,3.64
What event led to Kai'Sa being trapped in the Void?,Vector,Vector,1,0.0,0.0,0.0,1,6.73
Describe Kai'Sa's psychological state after being trapped in the Void.,Vector,Vector,1,0.0,0.0,0.0,5,36.96
What was Kai'Sa's early life like before being taken by the Void?,Vector,Vector,1,0.0,0.0,0.0,4,9.87
How did Kai'Sa's experience in the Void shape her role as a Balance Preserver in Shurima?,Hybrid,Vector,0,0.67,0.67,0.67,9,9.69
"Considering Kai'Sa's father is Kassadin, how does her relationship with the Void differ from his?",Hybrid,Vector,0,0.0,0.0,0.0,5,17.03
Tell me about Kai'Sa's younger sister.,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,4.56
What did Kai'Sa do to the traitor that attacked her village?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,4.18
What are Kalista's primary weapons?,Graph,Vector,0,0.33,1.0,0.5,0,3.75
In which regions is Kalista primarily associated with?,Graph,Vector,0,0.0,0.0,0.0,5,6.89
Who were Kalista's romantic interests?,Graph,Vector,0,0.0,0.0,0.0,0,3.5
List characters related to Kalista.,Graph,Vector,0,0.0,0.0,0.0,0,2.57
Describe Kalista's role and loyalty to Viego during his early reign.,Vector,Vector,1,0.0,0.0,0.0,10,12.27
What event led to Isolde being wounded?,Vector,Vector,1,0.0,0.0,0.0,0,5.48
What is Kalista's current status and residence?,Vector,Vector,1,0.0,0.0,0.0,1,10.5
When was Kalista born?,Vector,Vector,1,0.0,0.0,0.0,0,6.18
"How did Kalista's role as General of Camavor influence her relationship with Viego and Isolde, leading to the events that wounded Isolde?",Hybrid,Vector,0,0.0,0.0,0.0,8,10.2
"Considering Kalista's origin in Camavor and her current residence in the Shadow Isles, what kind of vengeance does she embody?",Hybrid,Vector,0,0.0,0.0,0.0,5,12.23
Who is Kalista's brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,4,5.4
What is the relationship between Kalista and her sister?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,2,3.41
What weapons does Karma use?,Graph,Vector,0,0.0,0.0,0.0,0,5.6
Where is Karma's current residence?,Graph,Vector,0,0.0,0.0,0.0,10,3.24
List characters related to Karma.,Graph,Vector,0,0.0,0.0,0.0,0,6.94
What is Karma's primary region of origin?,Graph,Vector,0,0.0,0.0,0.0,10,5.69
Can you tell me about Karma's spiritual role in Ionia?,Vector,Vector,1,0.0,0.0,0.0,10,21.03
What challenges did Darha face when she became Karma's host?,Vector,Vector,1,0.0,0.0,0.0,10,16.42
Describe the process by which the monks identified Karma's reincarnation.,Vector,Vector,1,0.0,0.0,0.0,0,10.7
"What was the life of Karma's previous incarnation, Jakgri, like?",Vector,Vector,1,0.0,0.0,0.0,0,12.86
How does Karma's role as the Avatar of Ionia connect to her being raised in Shon-Xan?,Hybrid,Vector,0,0.0,0.0,0.0,4,11.5
Explain the significance of Karma's current residence at the Lasting Altar within the context of Ionia's spiritual guidance.,Hybrid,Vector,0,0.0,0.0,0.0,10,27.11
Does Karma have a brother?,Adversarial,Vector,0,0.0,0.0,0.0,0,5.57
Who is the traitor that Karma is trying to stop?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.38
What are Karthus's primary weapons or magical abilities?,Graph,Vector,0,0.0,0.0,0.0,10,5.79
Where does Karthus currently reside?,Graph,Vector,0,0.0,0.0,0.0,10,3.24
Who are Karthus's known family members?,Graph,Vector,0,0.0,0.0,0.0,10,2.88
Name one character Karthus is related to.,Graph,Vector,0,0.0,0.0,0.0,0,2.06
What fascination did Karthus have regarding death in his early life?,Vector,Vector,1,0.0,0.0,0.0,8,4.94
How did Karthus become a Death Preacher?,Vector,Vector,1,0.0,0.0,0.0,4,13.7
What did Karthus realize when his sisters died?,Vector,Vector,1,0.0,0.0,0.0,10,5.72
Where was Karthus born?,Vector,Vector,1,0.0,0.0,0.0,10,4.1
How did Karthus's early fascination with death lead to his current occupation in the Shadow Isles?,Hybrid,Vector,0,0.67,0.67,0.67,10,7.57
What is the significance of the Black Mist to Karthus and his current residence?,Hybrid,Vector,0,0.0,0.0,0.0,10,8.14
Tell me about Karthus's brother.,Adversarial,Vector,0,0.0,0.0,0.0,10,6.82
Did a traitor cause Karthus's sisters to die?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.82
Who is Kassadin's daughter?,Graph,Vector,0,0.0,0.0,0.0,10,5.46
What weapons does Kassadin wield?,Graph,Vector,0,0.0,0.0,0.0,9,7.51
What region did Kassadin originate from before settling in Zirima?,Graph,Vector,0,0.0,0.0,0.0,0,4.98
What faction does Kassadin belong to?,Graph,Vector,0,0.0,0.0,0.0,10,5.4
Describe Kassadin's early life as an orphan in the Great Sai.,Vector,Vector,1,0.0,0.0,0.0,0,12.02
What is Kassadin's role as a 'Balance Preserver'?,Vector,Vector,1,0.0,0.0,0.0,0,5.84
How did Kassadin obtain his unique name?,Vector,Vector,1,0.0,0.0,0.0,6,8.86
What is known about Kassadin's current place of residence?,Vector,Vector,1,0.0,0.0,0.0,10,6.67
"Considering Kassadin's experiences in the Void, how does this relate to his role as a Balance Preserver?",Hybrid,Vector,0,0.0,0.0,0.0,10,8.02
How does Kassadin's Shuriman heritage and his daughter Kai'Sa's Void connection shape his mission as a Balance Preserver?,Hybrid,Vector,0,0.67,0.67,0.67,9,16.48
What role did Kassadin's betrayer play in his life?,Adversarial,Vector,0,0.0,0.0,0.0,0,5.21
Describe Kassadin's interactions with his blood relatives.,Adversarial,Vector,0,0.0,0.0,0.0,10,33.69
What weapon does Kayle wield?,Graph,Vector,0,1.0,3.0,1.5,10,4.77
In which region does Kayle currently reside?,Graph,Vector,0,1.0,3.0,1.5,10,4.86
Who is Kayle's twin sister?,Graph,Vector,0,0.0,0.0,0.0,10,6.1
List the characters related to Kayle.,Graph,Vector,0,0.0,0.0,0.0,10,1.84
What are Kayle's psychological motivations for being a protector?,Vector,Vector,1,0.0,0.0,0.0,5,13.24
Describe Kayle's early life experiences as a child of an Aspect.,Vector,Vector,1,0.0,0.0,0.0,0,21.68
What led Kayle's father to flee Mount Targon with his daughters?,Vector,Vector,1,0.0,0.0,0.0,0,4.63
What is Kayle's occupation?,Vector,Vector,1,0.0,0.0,0.0,10,5.71
"Considering Kayle's birth on Mount Targon and her father's fear of her mother's Aspect duties, how did this early Targon experience shape her later role as Demacia's Protector of Justice?",Hybrid,Vector,0,0.0,0.0,0.0,9,24.82
"What is the relationship between Kayle's mother, Mihira, being the Aspect of Justice and Kayle and Morgana being born with celestial power on Mount Targon?",Hybrid,Vector,0,0.0,0.0,0.0,10,8.5
Does Kayle have an older brother who betrayed her?,Adversarial,Vector,0,0.0,0.0,0.0,0,5.33
"What is the name of Kayle's younger sister, and what was her role in the betrayal?",Adversarial,Vector,0,0.0,0.0,0.0,0,3.85
What weapon does Kayn wield?,Graph,Vector,0,0.0,0.0,0.0,4,5.7
In which regions has Kayn operated?,Graph,Vector,0,0.0,0.0,0.0,4,4.51
List characters associated with the Order of Shadow.,Graph,Vector,0,0.0,0.0,0.0,0,1.74
What is Kayn's faction?,Graph,Vector,0,0.0,0.0,0.0,2,3.37
Describe Kayn's early life as a child soldier in Noxus.,Vector,Vector,1,0.0,0.0,0.0,10,10.67
What psychological factors drove Kayn to seek power and join Zed's order?,Vector,Vector,1,0.0,0.0,0.0,0,9.72
Describe the internal conflict Kayn experiences due to Rhaast.,Vector,Vector,1,0.0,0.0,0.0,10,11.43
What skills did Kayn master as an acolyte of the Order of Shadow?,Vector,Vector,1,0.0,0.0,0.0,10,6.68
How did Kayn's Noxian upbringing influence his actions in Ionia and his relationship with Zed's Order?,Hybrid,Vector,0,0.0,0.0,0.0,10,12.48
What is the significance of Rhaast's Scythe to Kayn's identity as both a Shadow Assassin and a potential Darkin host?,Hybrid,Vector,0,0.67,0.67,0.67,10,26.61
What role did Kayn's sibling play in his recruitment by Zed?,Adversarial,Vector,0,0.0,0.0,0.0,0,6.89
Describe Kayn's relationship with the soldiers who abandoned him during the Ionian conflict.,Adversarial,Vector,0,0.0,0.0,0.0,0,21.83
What weapons does Kennen wield?,Graph,Vector,0,0.0,0.0,0.0,10,5.07
In which region does Kennen currently reside?,Graph,Vector,0,0.0,0.0,0.0,10,3.15
What faction is Kennen a leader of?,Graph,Vector,0,0.0,0.0,0.0,10,4.32
